time,voltage
1,0.72
12,0.73
20,0.74
24,0.75
27,0.76
31,0.77
35,0.78
38,0.79
41,0.80
45,0.81
48,0.82
52,0.83
54,0.84
58,0.85
63,0.86
66,0.87
69,0.88
73,0.89
77,0.90
82,0.91
86,0.92
91,0.93
98,0.94
100,0.95
105,0.96
110,0.97
117,0.98
124,0.99
131,0.99
141,1.01
147,1.01
157,1.02
167,1.03
181,1.04
193,1.05
205,1.06
220,1.08
242,1.09
264,1.10
298,1.11
323,1.12
387,1.13
468,1.14
